gene_symbol	TCGA-OR-A5J1-01A-11R-A29S-07	TCGA-OR-A5J2-01A-11R-A29S-07	TCGA-OR-A5J3-01A-11R-A29S-07	TCGA-OR-A5J5-01A-11R-A29S-07	TCGA-OR-A5J6-01A-31R-A29S-07	TCGA-OR-A5J7-01A-11R-A29S-07	TCGA-OR-A5J8-01A-11R-A29S-07	TCGA-OR-A5J9-01A-11R-A29S-07	TCGA-OR-A5JA-01A-11R-A29S-07	TCGA-OR-A5JB-01A-11R-A29S-07	TCGA-OR-A5JC-01A-11R-A29S-07	TCGA-OR-A5JD-01A-11R-A29S-07	TCGA-OR-A5JE-01A-11R-A29S-07	TCGA-OR-A5JF-01A-11R-A29S-07	TCGA-OR-A5JG-01A-11R-A29S-07	TCGA-OR-A5JI-01A-11R-A29S-07	TCGA-OR-A5JJ-01A-11R-A29S-07	TCGA-OR-A5JK-01A-11R-A29S-07	TCGA-OR-A5JL-01A-11R-A29S-07	TCGA-OR-A5JM-01A-11R-A29S-07	TCGA-OR-A5JO-01A-11R-A29S-07	TCGA-OR-A5JP-01A-11R-A29S-07	TCGA-OR-A5JQ-01A-11R-A29S-07	TCGA-OR-A5JR-01A-11R-A29S-07	TCGA-OR-A5JS-01A-11R-A29S-07	TCGA-OR-A5JT-01A-11R-A29S-07	TCGA-OR-A5JV-01A-11R-A29S-07	TCGA-OR-A5JW-01A-11R-A29S-07	TCGA-OR-A5JX-01A-11R-A29S-07	TCGA-OR-A5JY-01A-31R-A29S-07	TCGA-OR-A5JZ-01A-11R-A29S-07	TCGA-OR-A5K0-01A-11R-A29S-07	TCGA-OR-A5K1-01A-11R-A29S-07	TCGA-OR-A5K2-01A-11R-A29S-07	TCGA-OR-A5K3-01A-11R-A29S-07	TCGA-OR-A5K4-01A-11R-A29S-07	TCGA-OR-A5K5-01A-11R-A29S-07	TCGA-OR-A5K6-01A-11R-A29S-07	TCGA-OR-A5K8-01A-11R-A29S-07	TCGA-OR-A5K9-01A-11R-A29S-07	TCGA-OR-A5KO-01A-11R-A29S-07	TCGA-OR-A5KT-01A-11R-A29S-07	TCGA-OR-A5KU-01A-11R-A29S-07	TCGA-OR-A5KV-01A-11R-A29S-07	TCGA-OR-A5KW-01A-11R-A29S-07	TCGA-OR-A5KX-01A-11R-A29S-07	TCGA-OR-A5KY-01A-11R-A29S-07	TCGA-OR-A5KZ-01A-11R-A29S-07	TCGA-OR-A5L3-01A-11R-A29S-07	TCGA-OR-A5L4-01A-11R-A29S-07	TCGA-OR-A5L5-01A-11R-A29S-07	TCGA-OR-A5L6-01A-11R-A29S-07	TCGA-OR-A5L8-01A-11R-A29S-07	TCGA-OR-A5L9-01A-11R-A29S-07	TCGA-OR-A5LA-01A-11R-A29S-07	TCGA-OR-A5LB-01A-11R-A29S-07	TCGA-OR-A5LC-01A-11R-A29S-07	TCGA-OR-A5LD-01A-11R-A29S-07	TCGA-OR-A5LE-01A-11R-A29S-07	TCGA-OR-A5LG-01A-11R-A29S-07	TCGA-OR-A5LH-01A-11R-A29S-07	TCGA-OR-A5LJ-01A-11R-A29S-07	TCGA-OR-A5LK-01A-11R-A29S-07	TCGA-OR-A5LL-01A-11R-A29S-07	TCGA-OR-A5LM-01A-11R-A29S-07	TCGA-OR-A5LN-01A-11R-A29S-07	TCGA-OR-A5LO-01A-11R-A29S-07	TCGA-OR-A5LP-01A-11R-A29S-07	TCGA-OR-A5LR-01A-11R-A29S-07	TCGA-OR-A5LS-01A-11R-A29S-07	TCGA-OR-A5LT-01A-11R-A29S-07	TCGA-OU-A5PI-01A-12R-A29S-07	TCGA-P6-A5OF-01A-11R-A29S-07	TCGA-P6-A5OG-01A-22R-A29S-07	TCGA-PA-A5YG-01A-11R-A29S-07	TCGA-PK-A5H8-01A-11R-A29S-07	TCGA-PK-A5H9-01A-11R-A29S-07	TCGA-PK-A5HA-01A-11R-A29S-07	TCGA-PK-A5HB-01A-11R-A29S-07
STK11	1861.6715	1512.6824	2987.4093	2736.6383	3416.291	2050.9426	1285.5367	2845.2945	2612.5793	315.4729	3078.2443	1280.3398	3628.9593	2731.9239	2484.4821	1323.7743	3250.7809	2759.7254	1329.105	2814.6552	1787.1195	4251.6469	1620.3842	1303.7559	2329.2638	1465.3559	885.2544	2227.7315	2213.7182	1734.8858	1514.0218	3631.6068	2760.8765	2858.13	1874.5149	2276.9293	2322.4621	1990.9137	3300.4354	4445.0308	2769.9157	2213.8728	2347.2248	3621.6737	2140.6777	2752.8681	2272.4958	1872.1212	1720.9821	2353.6088	1225.5598	1142.0561	2117.7175	1962.3656	1353.15	2866.0683	2690.6377	1032.5645	3105.9339	2267.7739	2123.7651	1339.5419	2400	2161.2083	1655.7106	1554.9133	2842.3835	1935.8123	1524.6862	1955.6158	1803.5714	978.3352	2341.4157	1084.0919	1802.1267	3591.5053	1466.9807	1826.3506	1924.2181
ADAR	3315.0817	10011.0019	3548.5113	1765.2982	3462.1172	3186.5223	5753.0046	4183.4567	3614.1649	12129.2191	2809.7964	2840.4126	3863.1222	2610.6767	4440.6825	2476.4107	3462.7398	5659.0389	3710.1245	3685.7759	4629.2334	3444.4444	3245.9441	3500.939	5042.1754	4626.3177	7396.6771	3043.0013	2901.2486	5209.1357	4020.1511	7719.3446	3564.131	3127.6182	3181.1125	3773.4052	4452.4575	5914.1848	2387.5181	6187.3351	1996.7198	4486.5125	4321.4352	2857.6938	4417.983	3445.9847	3429.7731	2994.5455	2981.0268	3184.2525	3570.1802	2325.2336	4845.9697	1973.1183	2495.1198	3567.7818	6101.7639	2310.7191	5566.0795	3325.219	4425.3597	2880.443	3066.1017	36943.3229	2827.5552	2626.5896	2727.0543	5023.3272	3552.3013	5918.3466	2889.4558	5076.9669	3173.2499	5623.7538	3816.4586	2977.5141	5585.9723	5632.8556	6909.3825
BRCA2	15.8501	29.392	31.9953	30.9837	8.3829	63.7786	95.317	31.2782	155.9197	45.4495	54.0712	16.9903	20.9276	16.2178	125.2183	4.6253	107.5413	14.4928	81.7477	240.0862	35.0945	37.769	64.895	31.9249	56.6038	45.4815	38.9408	24.1334	6.4861	171.5181	116.8766	16.3848	31.4677	17.2749	31.0479	94.6853	14.2398	13.6295	26.1248	80.0352	158.388	9.6339	8.2228	13.4979	165.7891	62.6195	173.5473	141.8182	2.2321	45.3981	11.4691	41.1215	23.9425	0	8.8731	23.3127	71.9132	16.2822	85.4901	13.1953	10.1881	34.2311	10.1695	3.5891	27.6152	15.0289	50.937	27.7678	41.841	25.072	68.8776	26.7959	97.3797	147.811	15.7189	84.3223	16.0516	20.3969	181.235
EGFR	193.5639	126.4259	635.7517	363.2843	377.2283	401.5203	267.7124	99.2742	533.2981	364.037	188.2952	76.4563	71.8326	378.0288	500.8626	133.21	99.9554	22.1205	546.864	454.7371	77.2079	59.2885	314.9199	617.3662	285.2386	173.3981	214.9533	1771.3734	147.2353	47.4698	186.0554	50.74	86.1221	55.2796	102.1992	129.4219	139.6417	71.681	253.9913	705.8047	424.0862	68.4008	35.8811	131.1223	792.202	304.4933	170.8866	216.3515	165.1786	577.4073	206.4446	108.4112	459.2977	48.3871	221.8279	470.4464	56.9878	56.9878	22.7563	217.4952	195.8902	120.8155	127.1186	1280.0957	230.5268	141.0405	1180.6776	1465.9591	108.7866	629.5104	169.2177	763.9624	933.5002	177.2562	1457.6976	259.8376	108.1706	458.6494	1781.0706
CCNE1	950.048	321.7017	279.6623	4213.0132	665.0395	1218.211	163.2822	744.2167	1820.8245	684.8613	1715.0127	296.1165	2018.6652	744.4734	737.3371	129.5097	1007.1397	1105.2632	326.521	1192.2414	82.607	1199.3852	334.0301	249.2958	684.4247	533.9334	969.8858	412.4616	293.822	526.6458	1059.9496	309.7252	639.2911	1766.3572	853.8163	1275.17	1096.9224	221.6052	532.656	347.4055	865.0422	71.2909	725.8456	462.7844	335.8985	2444.5507	2886.995	630.9091	338.1696	804.3979	309.6668	884.1121	687.9489	655.914	161.4907	380.4639	561.0583	1037.9919	674.0799	274.8265	450.5939	462.6227	266.1017	58.6212	809.8454	167.6301	1078.8083	237.569	800	414.7044	491.4966	425.8837	1210.4028	282.6181	180.7675	1721.4241	645.2063	371.5546	1431.4354
FASN	5213.2565	3878.9411	7206.0435	872.9667	1969.9698	7876.0529	1627.8492	4789.9815	5099.3658	2499.2759	1215.6489	1992.7184	15621.0407	2198.2817	480.4514	715.0786	4562.249	2079.3288	4524.7827	35181.4655	849.2867	22058.8494	2004.1804	2884.507	5820.5697	1265.427	1201.4538	3644.1422	3350.7378	16864.3081	1049.2024	1292.8118	1023.5283	18129.9935	2020.6986	4593.6376	8073.4956	17089.3488	1336.7199	12514.9516	2656.5136	5903.6609	3682.3024	21480.1388	5478.0613	842.7342	13266.6298	4782.4242	3772.3214	3794.9991	1370.8356	1119.6262	1514.3655	3725.8065	1892.6353	2151.7659	8617.3677	3624.152	7901.3728	3196.9059	3824.7222	1280.6443	461.0169	835.6513	2567.6122	1875.1445	5373.8587	1204.5936	3273.6402	2929.358	2361.3946	8066.1345	4414.5483	2585.1756	773.4628	1116.802	1206.316	1390.849	1226.9447
EEF2	25341.4986	60493.2021	138357.5767	67371.0302	38989.7548	105764.9418	33377.1239	66909.4692	53806.5539	22075.0808	76515.9033	43641.3835	56388.009	66850.4682	237537.5521	47853.839	65396.6979	35129.672	20597.1341	43103.8793	52723.805	124748.3531	44414.0539	48983.5681	40381.798	35473.6468	18423.1568	61866.6082	59145.7759	31297.8056	46419.4794	62663.8478	37130.2287	58380.4794	50447.6067	37699.8756	69171.3367	53960.6259	60445.5733	142040.0176	39411.9025	51554.9133	45575.0327	80956.4211	63429.1886	40808.3174	89845.2684	59613.9394	24329.2411	110286.221	34901.6931	13117.757	111944.9322	27403.2258	22070.0976	84664.8794	54708.2768	54428.7653	49466.7634	35546.3542	25417.5692	79133.6522	70132.2034	27541.7975	41494.2218	38145.6647	143940.4133	94731.3906	33930.5439	48243.2661	30827.381	19684.7206	88620.2581	38641.0923	94239.4822	110834.4785	30466.719	86059.5369	109781.4755
MTOR	984.6302	1274.7278	1429.7141	705.6545	1038.9146	1612.9162	1077.4969	808.133	1137.4207	2186.9221	674.3003	760.3155	823.5294	1283.9077	1724.036	567.0675	1272.6461	600.3051	839.0886	792.6724	777.478	1018.4453	628.6454	1000	1261.1913	994.4333	658.8785	1248.3545	507.2158	1931.9301	927.6238	1265.3277	619.4168	874.973	727.0375	767.0069	901.2402	951.5396	568.9405	1070.8004	765.6982	971.0983	757.9892	1305.8234	906.7099	547.8011	1345.4344	793.3333	873.8839	1004.4334	788.6401	562.6168	2525.1397	435.4839	647.7374	1023.8956	708.2768	976.9335	1657.5231	521.8974	807.1789	1940.599	723.7288	542.5452	578.118	646.2428	543.9692	1253.9586	819.2469	908.6905	633.5034	786.203	919.8279	1607.7156	742.4873	722.6733	1324.9586	664.2778	3554.5309
SERPINE1	371.7579	1629.8478	5576.0628	447.7149	8854.5254	272.7637	14390.7998	394.3771	8840.9091	2341.5395	376.5903	677.7913	1260.7466	6947.7749	1189.3054	105.4579	552.8782	655.225	1308.903	1957.7586	3250.2899	313.5705	225.3409	188.2629	1985.2016	622.0538	3026.999	1073.7165	3921.5178	12068.5177	603.8623	4001.5856	406.5958	1375.081	755.4981	60.5089	1765.7327	1167.5921	9393.3237	4124.4503	3737.1134	1910.4046	1921.8838	1046.6641	31268.7998	294.9331	602.5457	2993.9394	243.3036	779.5708	272.5287	435.514	37.909	268.8172	3031.9432	494.2301	946.4043	80.0543	878.887	2988.511	6637.5764	591.996	205.0847	789.5917	5194.6571	360.6936	1214.8006	2173.822	1089.5397	8.8091	69.7279	455.5302	4911.6152	31867.3602	660.1942	923.173	1762.1914	347.8501	287.089
YWHAE	19839.097	9881.3549	7802.1034	10644.4617	8633.777	8570.3971	9157.4803	9467.4295	8375.7928	9276.1502	13526.0814	12029.733	8459.8416	8472.2464	7314.7924	14630.8973	8979.9197	8683.4477	10996.0066	9449.1379	9765.4473	7216.9521	14411.068	9643.662	5582.3159	8703.5414	9439.2523	7432.6459	21051.4026	5379.7582	9306.4652	8930.7611	9393.1082	9569.4235	10090.5563	9260.11	9177.3082	11019.1822	9195.9361	7543.0959	11430.1781	6406.5511	7008.0359	15007.7131	8733.9004	5958.891	9731.9314	15421.2121	13386.1607	9462.6707	10545.0573	10642.9907	9830.407	20892.4731	12479.1482	7248.8635	11658.7517	19013.5685	8243.948	15348.4245	8880.3576	8380.0654	11400	8029.3106	8524.6886	13635.8382	7780.394	7183.0449	9300.4184	8388.2771	15986.3946	8281.0718	7660.9308	10504.9848	7822.0065	8906.9332	7663.2644	8272.3264	6562.9511
MAPK3	946.6811	1699.3821	2347.2434	1299.1557	2543.4239	947.136	1584.281	1787.8812	1511.3742	569.5533	968.8041	1587.1177	1577.8846	1087.41	1119.7259	2653.5523	1183.9224	1032.9214	850.4158	1311.556	2005.2561	766.4603	2049.1848	2174.7793	997.2364	1894.971	1824.8131	1255.1294	1505.977	881.7331	1750.4349	1832.167	2578.8939	1219.5897	1264.6184	1979.9872	2578.3004	2206.8804	1215.6894	1308.0563	1947.4227	1900.8863	1378.1574	1881.5619	1987.0177	1065.6979	1062.2512	1079.1818	967.9911	1363.9369	2481.775	1161.271	1123.6991	674.2473	2597.4712	1107.537	1126.4383	1152.3609	818.5704	1217.0675	721.5893	1020.1057	1131.1525	1106.0685	1128.1585	1386.5434	870.2066	2571.144	2016.4268	1098.7769	1406.4286	1190.0912	1876.273	1310.8799	3244.2395	2011.7676	1013.4694	2446.1246	1463.3079
INPP4B	145.0528	578.5799	20.1452	4.6476	4.4709	17.6494	40.6133	79.2154	26.9556	35.6467	47.7099	16.3835	7.3529	75.683	5.3742	71.2303	60.6872	289.0923	63.4249	48.7069	58.3108	131.3131	254.8024	88.7324	142.4343	117.02	380.0623	14.48	99.2379	75.2351	14.7775	85.6237	81.9816	6.0462	19.4049	135.5849	225.9991	26.2494	10.1597	76.9569	12.6523	19.2678	193.6087	5.0135	4.3202	8.1262	9.7399	20.6061	84.8214	7.8028	75.9148	93.4579	250.1995	32.2581	63.8864	34.9691	5.4274	20.3528	76.2645	20.4755	43.0681	21.6461	71.1864	113.0552	30.0165	26.5896	56.223	208.4789	94.5607	7.4538	34.0136	320.9806	92.6867	132.2063	375.4045	3.123	200.6456	25.3583	99.8396
PCNA	2243.9962	688.498	1216.4124	1089.0782	1118.8311	2697.152	2113.1372	1663.8632	2551.2685	3560.2094	3335.2417	1694.1748	5130.0905	2161.9847	2407.0939	1888.9917	2855.8679	2766.5904	1325.3465	1561.6379	1574.3929	2687.747	3053.2497	2177.9343	1650.0185	2368.3525	1420.0415	1879.7718	1221.3394	4362.7407	3142.2334	2407.5053	4113.9876	2375.2969	2072.445	3801.9789	1494.7175	1559.3135	3235.1234	2202.7265	2976.1012	1528.9017	2456.3633	1193.5981	1926.2859	1188.8145	4016.3807	8136.3636	832.5893	3070.7572	2381.2125	4192.5234	1123.7031	1403.2258	1980.4791	1748.4555	4491.8589	1451.8318	2019.1645	1703.1054	1055.3992	1884.7219	1372.8814	1304.0227	2482.9656	1965.3179	879.8654	2096.2485	2575.7322	1519.9051	2838.4354	3632.2691	1703.1678	2308.1925	2269.5331	3517.1768	1262.8457	1174.2007	1831.1949
ACVRL1	203.17	427.9961	276.6997	178.1565	419.7014	439.631	3811.0236	328.0809	410.148	209.4241	675.5725	264.5631	483.0317	315.0883	245.0625	720.629	241.8563	370.7094	422.3632	215.9483	1220.2085	249.8902	404.4989	292.4883	158.7125	270.9937	305.8152	256.2527	423.5447	485.8934	335.1805	81.9239	529.1542	254.8046	221.216	133.3438	785.944	207.471	310.5951	150.8355	178.538	1225.4335	141.282	158.8893	274.3351	223.2314	354.1782	440.6061	195.3125	605.0718	589.2955	371.9626	123.7031	612.9032	777.2848	293.2743	368.3853	371.7775	154.9892	373.5639	394.096	467.6567	481.3559	157.9183	654.3599	327.1676	206.6314	507.754	296.2343	275.792	68.0272	183.5804	278.0602	1573.9055	658.3449	395.3779	580.3018	528.6659	259.0217
TSC1	748.7992	1147.094	853.2069	3652.2076	739.9263	1112.3145	704.5172	948.5448	967.759	515.0941	581.4249	1450.8495	913.4615	1076.1657	921.134	833.4875	1509.5939	562.9291	539.347	737.5	762.3603	855.5116	675.2264	914.0845	755.8269	792.1355	1073.2087	1008.7758	1002.108	929.691	628.0437	700.8457	452.9692	727.2727	714.1009	1184.9669	631.6031	1141.8476	1235.1234	604.6614	1317.2446	633.9114	370.7718	1015.4261	578.9118	1886.7113	1111.2341	909.0909	1493.3036	492.2859	807.7553	1278.5047	820.83	795.6989	480.9228	825.7373	601.7639	2080.0543	868.4314	1002.8438	607.5839	1659.703	718.6441	2008.6735	413.0272	1438.1503	719.8462	629.4035	751.4644	1097.7469	1442.1769	1134.5496	796.6367	611.1834	434.1193	1396.6271	1387.0714	1404.6307	708.5004
CHEK2	196.926	99.8523	879.2771	230.8288	177.1576	601.6847	582.6772	57.4567	533.2981	622.0341	109.4148	52.1845	735.8597	403.9	1880.4246	131.3599	484.1589	269.2601	209.5372	314.2241	479.9847	208.6078	108.6892	40.8451	592.6748	54.0092	67.4974	369.4603	59.0238	285.7143	88.665	1260.0423	153.198	439.6459	195.3428	133.9041	294.9012	363.4528	142.2351	335.5321	417.5258	151.2524	184.6384	69.4177	162.0089	139.5793	385.6115	323.0303	147.3214	148.9626	104.3146	276.6355	89.3855	26.8817	94.055	251.7776	187.2456	194.0299	383.7827	63.2465	218.582	289.9572	72.8814	259.6082	155.4855	80.9249	208.073	59.9432	71.9665	300.1863	132.6531	554.732	267.501	713.0472	63.8003	67.4578	178.3128	66.1521	651.9647
BAK1	705.5716	400.2146	963.4128	495.7397	704.1594	2865.6237	527.5591	708.1788	1487.8436	968.2522	635.4962	756.068	1894.2308	845.6415	1585.9197	538.3904	687.6394	454.6148	1115.3394	1564.6552	760.2007	1083.004	336.4188	618.3099	1384.0178	812.0336	280.3738	1606.4063	481.9199	1231.9749	709.9916	1455.074	1015.2473	1817.3181	606.727	621.3372	1678.4566	1061.5851	846.1538	1323.219	773.6645	666.6667	532.9845	704.2036	516.8084	952.1989	1140.8965	759.3939	878.3482	595.8503	665.2103	685.9813	350.7582	338.7097	649.512	685.8608	583.4464	534.5997	91.6404	390.3993	268.5965	602.0639	684.7458	621.5044	733.6035	832.3699	102.8352	894.7402	538.9121	481.1113	295.068	640.2509	809.9335	554.3997	505.3167	806.9956	677.3096	411.7971	2261.0265
SMAD4	1232.4688	1502.8743	740.0385	684.7405	672.3046	791.0148	1324.4923	972.3435	919.1332	686.1981	376.5903	884.7087	698.5294	656.0749	948.5423	685.4764	807.2289	728.4516	638.4778	793.9655	1611.1071	908.2126	828.1079	806.662	530.5216	377.1171	841.1215	965.0066	390.4654	908.1953	973.9715	1424.4186	698.9142	556.2513	554.9806	699.2145	683.0501	1592.1252	605.225	1282.3923	1020.15	1083.815	654.8309	681.0644	855.9471	1615.2008	965.5783	1530.303	787.9464	596.5597	922.4468	594.3925	1369.3057	559.1398	615.7941	1168.0988	1114.654	811.3976	854.2856	653.3955	856.7304	1124.591	772.8814	1123.3737	533.6935	826.5896	1038.6016	787.3229	904.6025	766.207	666.6667	132.2691	992.1783	964.0225	917.8456	643.9725	2144.9045	736.505	912.7546
TSC2	1722.8626	2486.2426	2739.1498	3794.7328	1346.8446	1064.9819	1435.9718	1423.1572	2024.8414	880.0267	1640.5852	1925.9709	1161.7647	1729.1244	2134.6231	1189.6392	1679.1611	2023.6461	975.8046	1067.2414	1196.9921	2032.0597	1617.5973	2345.5399	1376.2486	2899.9171	1731.568	1796.4019	1905.6267	1270.936	2101.0915	1503.6998	1955.9659	1345.7137	1983.1824	2925.7197	1877.3542	1232.206	1306.2409	1253.2982	2119.0253	1191.7148	1553.3545	1447.3583	2326.988	2218.9293	1367.1278	1557.5758	1239.9554	2162.7948	1747.1327	1721.4953	1807.6616	1586.0215	1451.6415	878.8903	1927.4084	2241.5197	1226.3826	792.6288	906.2818	1144.7269	1225.4237	1410.498	1645.505	1228.9017	1352.715	2704.9363	2912.9707	1913.6033	1551.0204	1954.9601	2167.3837	1353.2726	1707.8132	2158.0262	1488.9645	1957.5524	1829.591
PECAM1	859.7502	1155.5492	946.2302	553.8342	1104.3008	730.4452	2210.9407	980.163	843.5518	890.2751	1465.6489	625.6068	2597.2851	920.166	695.9559	1735.4302	956.7158	1327.2311	839.5584	489.2241	4173.005	742.2047	1102.8168	605.6338	385.4976	456.2359	912.7726	591.0487	3107.5077	1813.7035	805.3736	294.926	1797.7993	1544.3749	1257.4386	301.9845	1188.7919	1112.5694	715.5298	414.248	498.1256	4199.422	826.7614	865.7925	828.4056	1973.7094	777.8639	2201.8182	436.3839	1637.1697	1250.6827	1074.7664	299.2817	1827.957	3064.7737	1298.0534	999.3216	849.3894	802.0075	791.7188	771.5204	733.4508	2406.7797	216.5396	1120.8164	1619.6532	1138.8755	1155.2286	713.8075	349.6527	323.1293	271.3797	984.7478	3890.7672	1362.4595	861.3367	1108.6103	1657.6626	1574.579
CTNNB1	5634.4669	62658.3913	6337.4256	5979.055	8800.3107	6682.2984	7241.1935	15656.076	6880.0159	2553.1915	6262.7099	6612.8398	11990.9502	11311.4857	7534.5909	3878.7882	7002.6595	4778.0168	10700.4933	26477.9914	4321.4763	4431.2648	16699.5003	6862.4178	10269.6707	6486.7701	7333.8214	5933.7253	4421.5923	20345.6919	5113.6793	21124.7304	3305.7646	5974.5195	2853.7775	5548.3231	17288.011	17062.5896	2468.7954	18229.5427	3697.7413	10208.0829	9091.3773	12754.3347	7898.4636	20366.152	9263.513	7047.8788	4648.4263	6911.8567	3876.0076	2706.4673	33910.1476	2252.6882	2291.9255	6943.4573	12427.4016	4605.1425	17398.7589	8395.3407	7195.5996	10080.5135	4740.6441	5637.7748	2303.4669	3588.3584	14416.6074	5977.5522	7882.8117	7543.256	6266.9728	9478.3238	8731.6934	6390.0997	8148.4004	3033.6477	5258.9863	8120.1654	5257.8148
LCN2	2.4015	439.2697	509.5541	934.1596	0	1.6045	0.8288	0	85.0951	15.5954	8.2697	520.6311	1.6968	6.1782	2.1497	6.4755	163.3199	74.7521	486.7277	2.1552	14.0378	15.3711	48.1736	181.6901	22.9375	2391.567	184.3198	12.7249	5.8375	26.8697	262.6364	33.2981	413.2206	3.455	168.1759	110.3728	174.5521	316.5068	4.3541	1.759	14.9953	205.2023	8.2228	0	9.1805	191.2046	2.6563	1.2121	17.8571	29.7925	1868.9241	69.1589	0.399	317.2043	842.9459	1.865	378.5617	2.7137	2.4601	584.2339	501.0715	35.7413	237.2881	82.5482	24.6135	215.0289	67.2753	2288.4193	964.8536	4.0657	0.8503	651.6534	9.7771	3.0342	310.2173	1.8738	5.5832	329.6582	4.0096
YBX1	7307.877	4452.2868	5243.6676	3044.9264	5470.6481	5703.57	9914.2147	4702.9465	6790.6977	16190.7096	6197.201	3152.3058	10152.7149	4214.3064	7099.8253	3092.5069	5489.9598	3942.7918	5537.2328	7478.4483	7255.9212	7921.3878	2734.7467	3123.0047	3016.6482	3373.6823	4014.0187	3095.656	3195.7192	4864.7559	3279.2611	2536.4693	3547.569	8013.8199	3818.8875	3898.345	5368.3969	3227.6628	3049.3469	5348.285	4604.9672	6688.8247	2762.1005	5998.843	5675.1721	4183.5564	7528.5003	7869.0909	2090.4018	3756.6944	4256.1442	2785.0467	3686.7518	2349.4624	4131.3221	3396.6663	5636.3636	3983.7178	14239.323	3021.7268	3449.1502	11522.2754	4703.3898	2979.5125	4465.8562	3801.1561	2537.2417	3684.7429	3352.3013	3214.6366	2902.2109	2395.667	3608.1345	8956.2202	3547.3879	4901.9363	3455.2909	3843.9912	9702.085
RPS6	16298.7512	20627.1572	21680.3437	28040.2789	13973.0938	20075.4112	15559.0551	6238.2972	19056.0254	52574.3567	23319.9746	25404.733	31138.009	22022.5891	56777.106	27255.3191	15227.577	15847.4447	7807.8459	12237.931	37356.7369	28571.805	22682.9899	10936.6197	13478.7273	5766.6706	10998.4424	18918.3853	28771.8502	10012.0914	15809.9076	12192.389	25349.7159	20017.2749	15248.3829	10965.0057	17062.0119	17148.9147	30410.7402	33780.5629	22799.9063	30247.5915	10886.937	37627.8442	11624.1393	26211.7591	42941.0072	17743.0303	15140.625	31017.5563	29292.7362	26605.6075	21416.9992	32516.129	20305.2351	13674.321	21307.327	42240.1628	15172.9482	20702.0817	8707.6222	79873.1437	38605.0847	14326.3048	12641.1526	32351.4451	20162.4219	17100.5569	13993.3054	14181.9414	24347.7891	9289.0536	21840.8291	37064.586	26331.9464	25232.3548	7618.599	39014.333	35011.2269
NFE2L2	1571.0855	2491.8392	1769.8119	1184.33	2928.845	2487.5933	2534.6042	1114.0812	1598.8372	3469.7338	1434.9809	1119.4357	1102.9412	798.9188	1786.629	2554.0611	989.1522	1542.296	2130.5426	2275.3707	2992.7503	2179.5608	1408.1378	1979.6901	3188.9456	1792.6898	1804.2575	1305.2216	1435.3819	1525.8307	2140.3123	1666.3901	2286.9896	1650.6154	1878.2277	1861.6474	1207.8043	3101.9132	1050.7983	2916.1258	1710.7826	1657.0328	1100.3177	1401.8743	2105.2194	3114.3881	1857.1555	2234.9091	1314.7321	1614.7757	1445.112	1074.7664	2194.4294	1037.6344	878.4383	1470.232	2553.5482	1025.7802	2044.3134	3361.1148	1597.2233	1761.3894	1830.5085	3242.7097	1789.4942	1099.422	1895.2427	1811.5889	2071.1297	1034.7281	1600.0765	1360.6727	1387.0004	1821.2527	2156.8516	2024.2473	2236.4686	1592.0617	2546.7763
MAPT	94.1402	153.4022	888.7572	362.5097	1959.9104	297.6334	45.172	117.9731	165.9619	12.0307	367.0483	210.5583	285.0679	108.8908	119.3067	470.8603	66.4882	18.3066	102.4195	41.8103	39.9537	38.6473	125.4106	13.615	27.7469	243.9891	241.433	137.7797	86.2656	114.644	2.0151	156.9767	14.0777	427.5534	40.1035	176.4844	230.5926	36.3453	172.7141	17.5901	213.6832	71.2909	258.6432	585.4223	2182.8001	309.2734	390.0387	5.4545	3.3482	74.4813	28.3998	24.2991	12.3703	5.3763	42.5909	916.1907	33.2429	10.8548	12.9158	3.6401	225.5285	303.0456	118.6441	264.3936	247.336	38.1503	2420.9515	17.1896	79.4979	458.0722	899.6599	517.1038	1389.9101	19.5059	36.061	31.2305	206.5777	197.9052	808.34
CDH3	3.8425	2.4158	21.3302	37.9551	0	6.0168	4.1442	1.6999	33.8266	127.4368	5.0891	17.5971	1.1312	10.8119	4.8368	12.0259	11.1557	6.1022	1.8793	1.2931	28.6155	3.9526	15.1289	5.6338	1.1099	6.1589	4.1537	7.4594	8.432	0.4478	4.7019	4.7569	6.6248	0	25.8732	44.2612	1.378	1.0096	7.2569	0	3.7488	0.9634	10.4653	40.8793	18.361	20.0765	2.2136	9.697	0	17.7336	13.6537	1.8692	25.1397	5.3763	2.6619	4.1963	4.749	17.6391	0	20.0205	16.6715	6.5442	15.2542	4.7854	21.0116	5.7803	10.0913	24.6825	44.3515	0	7.6531	2.8506	14.8612	7.8023	21.2668	21.2367	0.6979	3.8589	12.0289
